Bonasa umbellus
Patagioenas fasciata
Lagopus muta
Charadrius collaris
Anas crecca
Ortalis vetula
Siphonorhis americana
Chlorostilbon assimilis
Laterallus ruber
Chlorostilbon swainsonii
Porzana carolina
Hirundapus caudacutus
Laterallus jamaicensis
Mergus merganser
Philortyx fasciatus
Cyrtonyx montezumae
Lampornis clemenciae
Elvira chionura
Cyanolimnas cerverai
Chen caerulescens
Hydropsalis cayennensis
Francolinus pondicerianus
Apus melba
Aeronautes saxatalis
Atthis heloisa
Crex crex
Chamaepetes unicolor
Rallus limicola
Phaethornis striigularis
Amazilia cyanocephala
Aythya valisineria
Charadrius nivosus
Aramides albiventris
Goethalsia bella
Calypte costae
Lophura leucomelanos
Columbina passerina
Anthracothorax prevostii
Crypturellus kerriae
Claravis pretiosa
Francolinus erckelii
Zenaida graysoni
Anas clypeata
Anas bahamensis
Cygnus columbianus
Zenaida auriculata
Chordeiles gundlachii
Patagioenas cayennensis
Columbina minuta
Cyrtonyx ocellatus
Patagioenas inornata
Chrysolampis mosquitus
Anas fulvigula
Geotrygon caniceps
Chlorostilbon forficatus
Patagioenas caribaea
Coccyzus merlini
Odontophorus leucolaemus
Gallinula chloropus
Chlorostilbon maugaeus
Charadrius hiaticula
Sarkidiornis melanotos
Abeillia abeillei
Coccyzus pluvialis
Nyctiphrynus yucatanicus
Rallus tenuirostris
Dactylortyx thoracicus
Neochen jubata
Chen canagica
Odontophorus gujanensis
Cuculus canorus
Lampornis sybillae
Siphonorhis brewsteri
Alopochen aegyptiaca
Podilymbus gigas
Dendrortyx macroura
Hylocharis eliciae
Chlorostilbon ricordii
Aechmophorus clarkii
Bucephala albeola
Aythya collaris
Microchera albocoronata
Thalurania colombica
Patagioenas leucocephala
Chlorostilbon bracei
Laterallus exilis
Eupherusa eximia
Doryfera ludovicae
Cypseloides cherriei
Rallus elegans
Neomorphus geoffroyi
Tympanuchus cupido
Mergus serrator
Cygnus olor
Coccyzus rufigularis
Podiceps auritus
Chaetura brachyura
Falcipennis canadensis
Leptotila plumbeiceps
Streptoprocne zonaris
Haplophaedia aureliae
Aramus guarauna
Fulica alai
Antrostomus salvini
Colinus cristatus
Ectopistes migratorius
Eupherusa poliocerca
Lepidopyga coeruleogularis
Phaethornis mexicanus
Anser albifrons
Eugenes fulgens
Heliothryx barroti
Doricha enicura
Streptoprocne semicollaris
Patagioenas goodsoni
Rallus crepitans
Lampornis amethystinus
Chaetura meridionalis
Haematopus ostralegus
Amaurolimnas concolor
Discosura conversii
Meleagris ocellata
Colinus nigrogularis
Pluvialis squatarola
Zenaida macroura
Androdon aequatorialis
Amazilia yucatanensis
Antrostomus arizonae
Geotrygon violacea
Geotrygon versicolor
Polysticta stelleri
Chaetura cinereiventris
Campylopterus curvipennis
Selasphorus ardens
Penelope purpurascens
Mellisuga helenae
Geotrygon mystacea
Chordeiles minor
Lagopus leucura
Amazilia tzacatl
Thalurania ridgwayi
Tilmatura dupontii
Penelopina nigra
Hylocharis leucotis
Phoenicopterus ruber
Charadrius vociferus
Antrostomus saturatus
Rhynchortyx cinctus
Nyctibius jamaicensis
Coturnix japonica
Vanellus vanellus
Selasphorus platycercus
Charadrius mongolus
Steatornis caripensis
Aythya americana
Coccyzus euleri
Patagioenas nigrirostris
Anas americana
Zentrygon goldmani
Cypseloides storeri
Grus americana
Doricha eliza
Burhinus bistriatus
Coccycua minuta
Porphyrio martinicus
Aramides axillaris
Zenaida asiatica
Amazilia rutila
Phaethornis anthophilus
Campylopterus excellens
Oxyura jamaicensis
Leptotila jamaicensis
Damophila julie
Coturnicops noveboracensis
Columbina talpacoti
Gallus gallus
Laterallus albigularis
Ortalis wagleri
Coccyzus longirostris
Anser serrirostris
Alectoris chukar
Histrionicus histrionicus
Amazilia violiceps
Antrostomus ridgwayi
Amazilia decora
Chlorostilbon auriceps
Charadrius melodus
Anas zonorhyncha
Apus pacificus
Anthracothorax mango
Streptoprocne rutila
Amazilia candida
Dendrocygna bicolor
Cyanophaia bicolor
Orthorhyncus cristatus
Streptopelia decaocto
Crypturellus soui
Branta hutchinsii
Anser erythropus
Colibri delphinae
Himantopus himantopus
Lampornis castaneoventris
Amazilia viridifrons
Aythya affinis
Bucephala clangula
Selasphorus rufus
Crotophaga major
Calliphlox lyrura
Claravis mondetoura
Phalaenoptilus nuttallii
Mellisuga minima
Charadrius montanus
Amazilia edward
Amazilia beryllina
Phaethornis guy
Mergellus albellus
Streptopelia orientalis
Coccyzus americanus
Zentrygon lawrencii
Pluvialis apricaria
Morococcyx erythropygus
Clangula hyemalis
Melanitta fusca
Dendragapus obscurus
Selasphorus scintilla
Threnetes ruckeri
Tachybaptus dominicus
Antrostomus carolinensis
Heliomaster longirostris
Camptorhynchus labradorius
Neocrex colombiana
Calothorax pulcher
Starnoenas cyanocephala
Zapornia sandwichensis
Lophodytes cucullatus
Lophornis helenae
Klais guimeti
Dendragapus fuliginosus
Centrocercus minimus
Amazilia cyanura
Anas strepera
Jacana spinosa
Crypturellus boucardi
Centrocercus urophasianus
Campylopterus hemileucurus
Chlorostilbon canivetii
Phasianus colchicus
Chaetura pelagica
Archilochus colubris
Branta sandvicensis
